Book ID,Chapter,Chapter Name,Gate,Map Type,Start Time,End Time,Match,Difficulty,SS1,SS2,SS1 Entry Req,SS2 Entry Req,SS1 Star Tier,SS1 Star Rarity,SS2 Star Tier,SS2 Star Rarity,Reward,Quantity,Hype,Strap,Universal,CSS Requirement,CSS Reward,CSS Quantity,CSS RBE
LTPVE_May2026_Wknd2,1,!!LTPVE_MAY2026_WKND2_CH1,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/16/2026, 19:00",1,Normal,SS_EGAmericano_Ludwig,,SS_Penta_ZeroFear,,Gold,4,,,Currency_May2026_wknd2_PW,5000,0,TRUE,FALSE,SS_Penta_ZeroFear,TSE,4,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,1,!!LTPVE_MAY2026_WKND2_CH1,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/16/2026, 19:00",1,Hard,SS_EGAmericano_Ludwig,,SS_Penta_ZeroFear,,Bronze,5,,,Currency_May2026_wknd2_PW,10000,0,TRUE,FALSE,SS_Penta_ZeroFear,TSE,4,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,1,!!LTPVE_MAY2026_WKND2_CH1,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/16/2026, 19:00",1,Hell,SS_EGAmericano_Ludwig,,SS_Penta_ZeroFear,,Silver,5,,,Fragment_Penta_ZeroFear,110,0,TRUE,FALSE,SS_Penta_ZeroFear,TSE,4,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,2,!!LTPVE_MAY2026_WKND2_CH2,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/18/2026, 19:00",1,Normal,SS_ShawnMichaels_HoF,,Era_Modern,,Bronze,3,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,13000,0,FALSE,FALSE,Body_Penta,PointCurrency_RBE_May2026_wknd2_Fac_Feeder,6000,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,2,!!LTPVE_MAY2026_WKND2_CH2,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/18/2026, 19:00",1,Hard,SS_BrockLesnar_Modern,,Era_Modern,,Bronze,5,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,17000,0,FALSE,FALSE,Body_Penta,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,13000,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,2,!!LTPVE_MAY2026_WKND2_CH2,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/18/2026, 19:00",1,Hell,SS_ROrton_Veteran,,Era_Modern,,Gold,6,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,30000,0,TRUE,FALSE,Body_Penta,Fragment_Penta_ZeroFear,100,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,3,!!LTPVE_MAY2026_WKND2_CH3,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/18/2026, 19:00",1,Normal,SS_TrishStratus_Canadian,,Color_Black,,Bronze,3,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,13000,0,FALSE,FALSE,"SS_ISky_Rhiyo,SS_Roxanne_NXT,SS_Sherri_Sensational,SS_SDeville_HairUp",PointCurrency_RBE_May2026_wknd2_Fac_Feeder,6000,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,3,!!LTPVE_MAY2026_WKND2_CH3,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/18/2026, 19:00",1,Hard,SS_TrishStratus_Canadian,,Color_Black,,Bronze,5,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,17000,0,FALSE,FALSE,"SS_ISky_Rhiyo,SS_Roxanne_NXT,SS_Sherri_Sensational",PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,13000,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,3,!!LTPVE_MAY2026_WKND2_CH3,may2026_wknd2,ZMap_FC_1,"05/15/2026, 19:00","05/18/2026, 19:00",1,Hell,SS_TrishStratus_Canadian,,Color_Black,,Gold,6,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,25000,0,TRUE,FALSE,"SS_ISky_Rhiyo,SS_Roxanne_NXT,SS_Sherri_Sensational",PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,30000,RBE_May2026_wknd2_Solo_Wrapper
LTPVE_May2026_Wknd2,4,!!LTPVE_APR2025_WKND4_CH3,may2026_wknd2,ZMap_FC_1,"05/16/2026, 19:00","05/18/2026, 19:00",1,Normal,SS_Penta_ZeroFear,,Era_Attitude,,Gold,6,,,PointCurrency_RBE_May2026_wknd2_Solo_Wrapper,16000,0,TRUE,FALSE,Color_Black,TSE_Weekend,1,RBE_May2026_wknd2_Solo_Wrapper
